(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpicxx matmul.cpp -o matmul -lstdc++
(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 1 ./matmul
Size: 1408 | Runs: 3738.54ms 3769.69ms 3852.39ms 3839.69ms 3816.99ms | Avg: 3803.46ms
Size: 1536 | Runs: 5416.67ms 6270.11ms 5885.13ms 6001.53ms 5831.31ms | Avg: 5880.95ms
Size: 1664 | Runs: 6509.95ms 6520.92ms 6482.73ms 6587.40ms 6702.48ms | Avg: 6560.70ms
Size: 1792 | Runs: 8861.03ms 9104.07ms 8713.79ms 8823.23ms 8919.57ms | Avg: 8884.34ms
Size: 1920 | Runs: 10586.37ms 10471.33ms 10765.43ms 11406.48ms 10770.36ms | Avg: 10799.99ms
Size: 2048 | Runs: 26903.32ms 38293.17ms 38632.55ms 38533.95ms 38784.96ms | Avg: 36229.59ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root --use-hwthread-cpus -np 13 ./matmul
Size:  128 | Runs:   1.41ms   1.31ms   1.23ms   1.25ms   1.50ms | Avg:   1.34ms
Size:  256 | Runs:  12.60ms  11.11ms  11.43ms  11.08ms  11.52ms | Avg:  11.55ms
Size:  384 | Runs:  37.83ms  38.32ms  37.36ms  37.46ms  37.30ms | Avg:  37.65ms
Size:  512 | Runs: 144.91ms 133.66ms 132.46ms 144.66ms 134.80ms | Avg: 138.10ms
Size:  640 | Runs: 235.57ms 242.69ms 241.41ms 237.36ms 237.18ms | Avg: 238.84ms
Size:  768 | Runs: 589.51ms 553.56ms 552.16ms 523.33ms 569.98ms | Avg: 557.71ms
Size:  896 | Runs: 682.59ms 760.61ms 753.33ms 755.72ms 726.14ms | Avg: 735.68ms
Size: 1024 | Runs: 1532.46ms 1442.26ms 1403.94ms 1383.32ms 1422.60ms | Avg: 1436.91ms
Size: 1152 | Runs: 1657.49ms 1858.10ms 1880.80ms 1896.21ms 1843.97ms | Avg: 1827.31ms
Size: 1280 | Runs: 2796.84ms 3018.83ms 3003.91ms 2967.26ms 2998.59ms | Avg: 2957.08ms
Size: 1408 | Runs: 3563.51ms 3850.91ms 3665.28ms 3659.19ms 4042.12ms | Avg: 3756.20ms
Size: 1536 | Runs: 5628.44ms 5965.57ms 5902.56ms 5954.34ms 5966.83ms | Avg: 5883.55ms
